idx,count_00_00_00,count_00_30_00,count_01_00_00,count_01_30_00,count_02_00_00,count_02_30_00,count_03_00_00,count_04_00_00,h3id,point,poly
0,24.0,24,24.0,20.0,20.0,15.0,15.0,14.0,892f5a300b3ffff,POINT(139.803842647657 35.7507127802615),"POLYGON((139.805830337085 35.7502398672893, 139.805265167437 35.7519944150793, 139.803277441749 35.7524672966294, 139.801854982525 35.7511856491375, 139.802420202105 35.7494311542981, 139.80440783098 35.7489582540003, 139.805830337085 35.7502398672893))"
1,5.0,5,5.0,,,,,,892f5a3054bffff,POINT(139.806395484149 35.7484853096079),"POLYGON((139.808383161606 35.7480123211199, 139.807818050804 35.7497669102201, 139.805830337085 35.7502398672893, 139.80440783098 35.7489582540003, 139.804972991721 35.7472037178497, 139.806960608631 35.7467307420388, 139.808383161606 35.7480123211199))"
2,22.0,22,22.0,16.0,16.0,11.0,10.0,8.0,892f5a3054fffff,POINT(139.802985399101 35.7476766495674),"POLYGON((139.804972991721 35.7472037178497, 139.80440783098 35.7489582540003, 139.802420202105 35.7494311542981, 139.800997830776 35.7481495371932, 139.801563041442 35.7463950539946, 139.803550573514 35.7459221349491, 139.804972991721 35.7472037178497))"
3,8.0,8,8.0,6.0,6.0,,,,892f5a305a7ffff,POINT(139.791882675914 35.7308796169812),"POLYGON((139.793869614971 35.7304067049919, 139.793304399012 35.7321610768873, 139.791317423731 35.7326339574646, 139.789895761165 35.7313524849059, 139.790461026993 35.7295981659751, 139.792447905521 35.7291252666387, 139.793869614971 35.7304067049919))"
4,5.0,5,5.0,,,,,,892f5a305bbffff,POINT(139.798700340817 35.7324966270148),"POLYGON((139.800687449524 35.7320236015705, 139.800122333338 35.733778079387, 139.798135188395 35.7342510734218, 139.796713256404 35.7329696083874, 139.797278422482 35.7312151835302, 139.799265470663 35.7307421707483, 139.800687449524 35.7320236015705))"
5,10.0,10,10.0,6.0,5.0,,,,892f5a30827ffff,POINT(139.72804147221 35.7638620722302),"POLYGON((139.730028102403 35.7633907838259, 139.729461588166 35.7651441348955, 139.727474921805 35.7656153918234, 139.726054866475 35.7643333165823, 139.726621430428 35.7625800185122, 139.728607999999 35.7621087426842, 139.730028102403 35.7633907838259))"
6,15.0,15,15.0,10.0,10.0,9.0,9.0,6.0,892f5a308b3ffff,POINT(139.738253536445 35.7549627729154),"POLYGON((139.740240119725 35.7544911824298, 139.739673840623 35.7562446991417, 139.737687221169 35.7567162581643, 139.736266977596 35.7554343193509, 139.736833306433 35.753680855634, 139.738819829112 35.7532092777358, 139.740240119725 35.7544911824298))"
7,11.0,11,7.0,,,,,,892f5a30957ffff,POINT(139.721228518303 35.7622403681138),"POLYGON((139.723214978326 35.7617691929527, 139.722648364669 35.7635224380206, 139.720661868489 35.763993581703, 139.71924208275 35.7627114992298, 139.7198087461 35.7609583071666, 139.721795145499 35.7604871445721, 139.723214978326 35.7617691929527))"
8,7.0,7,7.0,6.0,6.0,,,,892f5a30997ffff,POINT(139.720369091735 35.7478751093744),"POLYGON((139.722355153026 35.7474037830769, 139.721788634437 35.7491570231756, 139.719802537005 35.749628318006, 139.718383054907 35.7483463916436, 139.718949623166 35.7465932045542, 139.720935623856 35.7461218908182, 139.722355153026 35.7474037830769))"
9,5.0,5,5.0,,,,,,892f5a30d2fffff,POINT(139.722921649007 35.7456505330555),"POLYGON((139.724907698613 35.7451791312651, 139.724341238775 35.7469324127501, 139.722355153026 35.7474037830769, 139.720935623856 35.7461218908182, 139.72150213337 35.7443686623413, 139.72348812238 35.7438972731152, 139.724907698613 35.7451791312651))"
